STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,METHODOLOGY,,MEASURE,,UNIT_MEASURE,,EXPENDITURE,,ADJUSTMENT,,TRANSFORMATION,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,BASE_PER,,DURABILITY,,DECIMALS,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2003-Q3,,1.471941,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2003-Q4,,1.553931,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2004-Q1,,1.54827,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2004-Q2,,2.367942,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2004-Q3,,2.538531,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2004-Q4,,2.70027,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2005-Q1,,2.780269,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2005-Q2,,2.846975,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2005-Q3,,3.359859,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2005-Q4,,3.155127,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2006-Q1,,3.315881,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2006-Q2,,3.979239,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2006-Q3,,3.542686,,A,,,,,,,,2,
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),,I,NZL,,Q,,N,,CPI,,PA,,_T,,N,,GY,,2006-Q4,,2.634664,,A,,,,,,,,2,
