variable,DEU,lo,hi,status
gdp_growth,1.4623105400910084,-0.4599542494811869,2.088903607313452,ok
gdp_pc,55584.80959756435,49744.75391536917,85735.52013628535,ok
inflation,1.596838875,1.1762889601,6.10780375,ok
inv_rate,19.515094893741566,20.0137552732523,23.041666297529776,AUSSERHALB
lfpr,75.489919,62.494914,85.8185405,ok
ud,17.66,26.05,85.63,AUSSERHALB
