variable,mean_Deutschland,mean_Donorpool,sd_Deutschland,sd_Donorpool,n_Deutschland,n_Donorpool
emp_rate,70.011015,71.44239867857142,2.2766832660321397,7.296614664748506,40,280
gdp_growth,1.4623105400910084,1.1392821082695468,2.897258144856942,3.2687278938026583,40,280
gdp_pc,55584.80959756435,60917.54260722301,2597.5099620114515,10931.69497857305,40,280
inflation,1.596838875,2.4185958327285717,0.7363386976461846,2.3308653765461482,40,280
inv_rate,19.515094893741566,21.78971134001204,0.5258621156343344,3.315938307773414,40,280
lfpr,75.489919,76.20923742857143,0.7485132899897508,6.710483207971103,40,280
ud,17.66,57.061428571428564,1.0339865594523971,20.234207827603502,40,280
