Schaetzer,ATT_post,RMSPE_pre,max_Gewicht,min_Gewicht
Klassisch (Synth),1.5336272976978393,1.1153154621404284,0.993,0
Augmented SCM (Ridge),0.48965495035337553,0.3662326810199813,1.1393338039561836,-0.30536288988673405
