variante,n_donoren,n_praed,rmspe_pre,att_post,top_donor,top2
V0 Haupt,7,11,1.1153154621404284,1.5336272976978393,AUT (0.993),ITA (0.007)
R1 ohne UD & INV (J=7),7,9,1.1168803214127532,1.5126662750160385,AUT (0.994),ITA (0.005)
