spez,fake_treat,kontaminiert,n_fit,n_placebo,rmspe_fit,mean_gap_plac,rmspe_plac,ratio
Haupt (J=7),2009,TRUE,16,24,0.6186670002211352,2.026896958357451,2.239289900611423,3.619539913735524
Haupt (J=7),2010,FALSE,20,20,0.6019439377454834,2.1619315475910916,2.2786792878507107,3.785534075457692
Haupt (J=7),2011,FALSE,24,16,0.6491780996463825,2.21279346173292,2.2557100090163544,3.4747167383574324
Haupt (J=7),2012,FALSE,28,12,0.8846177366581233,1.911998248776842,1.9552993442230457,2.2103325122212727
Haupt (J=7),2013,FALSE,32,8,0.9501882906669521,1.8690683150363387,1.8938332145027872,1.993113610328197
